Product URL,Product Title,Brand,Price,Rating,Rating Count,Best Seller Rank
https://amazon.in/sspa/click?ie=UTF8&spc=MToyNzAxNDM3NDI2MDc3MTU1OjE3MzAwOTQwMDg6c3BfYXRmX25leHQ6MzAwMzQ3Nzc4MDcyODMyOjowOjo&url=%2FMygate-Fingerprint-Mechanical-Feature-Warranty%2Fdp%2FB0DD4DKCDH%2Fref%3Dsr_1_145_sspa%3Fcrid%3D3MNJ4J5A0A3FY%26dib%3DeyJ2IjoiMSJ9.RyodSdKikAn7_-41kike1keVNLMDfZH3thFPmK8FqPOE5BXDZJTc4eUhKu-6IOhTVe9h1g86p-g9SDuNX4jD_PF1Vn6b679y33ILJaBcmGXoT0Sf8weOo0nGUFHF8AhtebZ7vDwzQz7-jOoq7Rk6nUHbFGG7XVICymRkHNQoGfA7SNhrqYF7TIW_bxbgdQz3j7xKmd_akjGmLkrqN_BiBNXVIYj8EYN5-aItpvTBOJrpQ2xTiP0NJ6wFbEZz9slI0h7FjHoE0BYII8nV2u1ZPEy_1dvanpglIQyfGgj9yxw.KXF2HN57wMdMHOfDal7cpDkFVPJM7QKKigI5-rNp77I%26dib_tag%3Dse%26keywords%3Dsmart%2Block%26qid%3D1730094008%26sprefix%3Dsmart%2Block%252Caps%252C209%26sr%3D8-145-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Mygate Smart Lock SE | 6-Ways to Unlock | Fingerprint | Mobile App Access | OTP | PIN Access | RFID Card | Mechanical Key | Decoy Pin Feature | 3-Years Warranty,Mygate,"₹8,450",Deal is no longer available.,122 ratings,#553 in Home Improvement (See Top 100 in Home Improvement)  #2 in Home Security & Surveillance Biometrics
https://amazon.in/sspa/click?ie=UTF8&spc=MToyNzAxNDM3NDI2MDc3MTU1OjE3MzAwOTQwMDg6c3BfYXRmX25leHQ6MzAwMzcwODU0NjM2MDMyOjowOjo&url=%2FNative-Unlock-Fingerprint-BellLink-UC-Installation%2Fdp%2FB0DJGYW9R9%2Fref%3Dsr_1_146_sspa%3Fcrid%3D3MNJ4J5A0A3FY%26dib%3DeyJ2IjoiMSJ9.RyodSdKikAn7_-41kike1keVNLMDfZH3thFPmK8FqPOE5BXDZJTc4eUhKu-6IOhTVe9h1g86p-g9SDuNX4jD_PF1Vn6b679y33ILJaBcmGXoT0Sf8weOo0nGUFHF8AhtebZ7vDwzQz7-jOoq7Rk6nUHbFGG7XVICymRkHNQoGfA7SNhrqYF7TIW_bxbgdQz3j7xKmd_akjGmLkrqN_BiBNXVIYj8EYN5-aItpvTBOJrpQ2xTiP0NJ6wFbEZz9slI0h7FjHoE0BYII8nV2u1ZPEy_1dvanpglIQyfGgj9yxw.KXF2HN57wMdMHOfDal7cpDkFVPJM7QKKigI5-rNp77I%26dib_tag%3Dse%26keywords%3Dsmart%2Block%26qid%3D1730094008%26sprefix%3Dsmart%2Block%252Caps%252C209%26sr%3D8-146-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"Urban Company Native Smart Door Lock Pro with Camera | 6-Way Unlock—Fingerprint, BellLink, UC App (WiFi), PIN, RFID, Key | 3-Year Warranty | Free UC Installation | 100% Data Security | Cosmic Blue",N/A,"₹14,999",,14 ratings,"#2,365 in Home Improvement (See Top 100 in Home Improvement)  #12 in Home Security & Surveillance Biometrics"
https://amazon.in/sspa/click?ie=UTF8&spc=MToyNzAxNDM3NDI2MDc3MTU1OjE3MzAwOTQwMDg6c3BfYXRmX25leHQ6MzAwMzU5MTkxNzAyNjMyOjowOjo&url=%2FGodrej-Digital-Fingerprint-Mechanical-Warranty%2Fdp%2FB0CJXQX5QC%2Fref%3Dsr_1_147_sspa%3Fcrid%3D3MNJ4J5A0A3FY%26dib%3DeyJ2IjoiMSJ9.RyodSdKikAn7_-41kike1keVNLMDfZH3thFPmK8FqPOE5BXDZJTc4eUhKu-6IOhTVe9h1g86p-g9SDuNX4jD_PF1Vn6b679y33ILJaBcmGXoT0Sf8weOo0nGUFHF8AhtebZ7vDwzQz7-jOoq7Rk6nUHbFGG7XVICymRkHNQoGfA7SNhrqYF7TIW_bxbgdQz3j7xKmd_akjGmLkrqN_BiBNXVIYj8EYN5-aItpvTBOJrpQ2xTiP0NJ6wFbEZz9slI0h7FjHoE0BYII8nV2u1ZPEy_1dvanpglIQyfGgj9yxw.KXF2HN57wMdMHOfDal7cpDkFVPJM7QKKigI5-rNp77I%26dib_tag%3Dse%26keywords%3Dsmart%2Block%26qid%3D1730094008%26sprefix%3Dsmart%2Block%252Caps%252C209%26sr%3D8-147-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Godrej Smart Lock I Catus Touch Plus I Smart Digital Lock for Wooden Door I 4 in 1 Access I Fingerprint I RFID I PIN Access I Mechanical Key I Rose Gold Finish I 3 Years Warranty,N/A,"₹11,549",,298 ratings,"#5,856 in Home Improvement (See Top 100 in Home Improvement)  #38 in Home Security & Surveillance Biometrics"
https://amazon.in/sspa/click?ie=UTF8&spc=MToyNzAxNDM3NDI2MDc3MTU1OjE3MzAwOTQwMDg6c3BfYXRmX25leHQ6MzAwMDk4MzY3MjMzNTMyOjowOjo&url=%2FQUBO-Unlocking-Fingerprint-Mechanical-Stainless%2Fdp%2FB09M8QS88Y%2Fref%3Dsr_1_148_sspa%3Fcrid%3D3MNJ4J5A0A3FY%26dib%3DeyJ2IjoiMSJ9.RyodSdKikAn7_-41kike1keVNLMDfZH3thFPmK8FqPOE5BXDZJTc4eUhKu-6IOhTVe9h1g86p-g9SDuNX4jD_PF1Vn6b679y33ILJaBcmGXoT0Sf8weOo0nGUFHF8AhtebZ7vDwzQz7-jOoq7Rk6nUHbFGG7XVICymRkHNQoGfA7SNhrqYF7TIW_bxbgdQz3j7xKmd_akjGmLkrqN_BiBNXVIYj8EYN5-aItpvTBOJrpQ2xTiP0NJ6wFbEZz9slI0h7FjHoE0BYII8nV2u1ZPEy_1dvanpglIQyfGgj9yxw.KXF2HN57wMdMHOfDal7cpDkFVPJM7QKKigI5-rNp77I%26dib_tag%3Dse%26keywords%3Dsmart%2Block%26qid%3D1730094008%26sprefix%3Dsmart%2Block%252Caps%252C209%26sr%3D8-148-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,QUBO Smart Door Lock Select from Hero Group | 6-Way Unlocking | Fingerprint | PIN | RFID Access Card | Bluetooth Mobile App | Mechanical Key | OTP Access | 2 Years Brand Warranty | (Black),Qubo,"₹15,990",,"1,082 ratings","#1,716 in Home Improvement (See Top 100 in Home Improvement)  #11 in Home Security & Surveillance Biometrics"
https://amazon.in/Electronic-Lock-Controller-Main-Gate/dp/B0CBBPYMHR/ref=sr_1_149?crid=3MNJ4J5A0A3FY&dib=eyJ2IjoiMSJ9.RyodSdKikAn7_-41kike1keVNLMDfZH3thFPmK8FqPOE5BXDZJTc4eUhKu-6IOhTVe9h1g86p-g9SDuNX4jD_PF1Vn6b679y33ILJaBcmGXoT0Sf8weOo0nGUFHF8AhtebZ7vDwzQz7-jOoq7Rk6nUHbFGG7XVICymRkHNQoGfA7SNhrqYF7TIW_bxbgdQz3j7xKmd_akjGmLkrqN_BiBNXVIYj8EYN5-aItpvTBOJrpQ2xTiP0NJ6wFbEZz9slI0h7FjHoE0BYII8nV2u1ZPEy_1dvanpglIQyfGgj9yxw.KXF2HN57wMdMHOfDal7cpDkFVPJM7QKKigI5-rNp77I&dib_tag=se&keywords=smart+lock&qid=1730094008&sprefix=smart+lock%2Caps%2C209&sr=8-149,"Robsync Smart Electronic Door Lock With Inbuilt Wifi Controller Device Main Gate Lock|Heavy Duty Lock 3 Ways Unlocking Wifi Mobile App, Remote & Physical Keys Suitable For Ss, Ms, Wooden Doors - Metal",ROBSYNC,"₹5,489",,28 ratings,"#22,861 in Home Improvement (See Top 100 in Home Improvement)  #66 in Dead Bolts"
https://amazon.in/A2Z-SMART-LOCKS-GB-Fingerprint-andMechanical/dp/B0DC4DRQVB/ref=sr_1_150?crid=3MNJ4J5A0A3FY&dib=eyJ2IjoiMSJ9.RyodSdKikAn7_-41kike1keVNLMDfZH3thFPmK8FqPOE5BXDZJTc4eUhKu-6IOhTVe9h1g86p-g9SDuNX4jD_PF1Vn6b679y33ILJaBcmGXoT0Sf8weOo0nGUFHF8AhtebZ7vDwzQz7-jOoq7Rk6nUHbFGG7XVICymRkHNQoGfA7SNhrqYF7TIW_bxbgdQz3j7xKmd_akjGmLkrqN_BiBNXVIYj8EYN5-aItpvTBOJrpQ2xTiP0NJ6wFbEZz9slI0h7FjHoE0BYII8nV2u1ZPEy_1dvanpglIQyfGgj9yxw.KXF2HN57wMdMHOfDal7cpDkFVPJM7QKKigI5-rNp77I&dib_tag=se&keywords=smart+lock&qid=1730094008&sprefix=smart+lock%2Caps%2C209&sr=8-150,"A2Z SMART LOCKS-GB One Smart Lock. Face ID, Fingerprint, Password, RFID Card, App andMechanical Key Entry, 4.3"" Display.",A2Z SMART LOCKS,"₹12,999",,4 ratings,N/A
https://amazon.in/Smart-iCards-Single-Electromagnetic-Control/dp/B0821FBDDJ/ref=sr_1_151?crid=3MNJ4J5A0A3FY&dib=eyJ2IjoiMSJ9.RyodSdKikAn7_-41kike1keVNLMDfZH3thFPmK8FqPOE5BXDZJTc4eUhKu-6IOhTVe9h1g86p-g9SDuNX4jD_PF1Vn6b679y33ILJaBcmGXoT0Sf8weOo0nGUFHF8AhtebZ7vDwzQz7-jOoq7Rk6nUHbFGG7XVICymRkHNQoGfA7SNhrqYF7TIW_bxbgdQz3j7xKmd_akjGmLkrqN_BiBNXVIYj8EYN5-aItpvTBOJrpQ2xTiP0NJ6wFbEZz9slI0h7FjHoE0BYII8nV2u1ZPEy_1dvanpglIQyfGgj9yxw.KXF2HN57wMdMHOfDal7cpDkFVPJM7QKKigI5-rNp77I&dib_tag=se&keywords=smart+lock&qid=1730094008&sprefix=smart+lock%2Caps%2C209&sr=8-151,Smart iCards; Single Door 12V DC 600lbs Electromagnetic Lock/EM Lock for Access Control with LED (Silver),N/A,"₹1,249",,2 ratings,"#61,822 in Home Improvement (See Top 100 in Home Improvement)  #359 in Home Security & Surveillance Biometrics"
https://amazon.in/Escozor%C2%AE-Biometric-Fingerprint-Apartment-MFK01/dp/B09YTV2K5W/ref=sr_1_152?crid=3MNJ4J5A0A3FY&dib=eyJ2IjoiMSJ9.RyodSdKikAn7_-41kike1keVNLMDfZH3thFPmK8FqPOE5BXDZJTc4eUhKu-6IOhTVe9h1g86p-g9SDuNX4jD_PF1Vn6b679y33ILJaBcmGXoT0Sf8weOo0nGUFHF8AhtebZ7vDwzQz7-jOoq7Rk6nUHbFGG7XVICymRkHNQoGfA7SNhrqYF7TIW_bxbgdQz3j7xKmd_akjGmLkrqN_BiBNXVIYj8EYN5-aItpvTBOJrpQ2xTiP0NJ6wFbEZz9slI0h7FjHoE0BYII8nV2u1ZPEy_1dvanpglIQyfGgj9yxw.KXF2HN57wMdMHOfDal7cpDkFVPJM7QKKigI5-rNp77I&dib_tag=se&keywords=smart+lock&qid=1730094008&sprefix=smart+lock%2Caps%2C209&sr=8-152,Escozor® Metal Smart Biometric Digital Lever Lock Fingerprint for Doors | Bedroom | Office | Apartment Unlock Using Fingerprint & Manual Keys (MFK01),N/A,"₹5,499",,2 ratings,"#146,239 in Home Improvement (See Top 100 in Home Improvement)  #707 in Home Security & Surveillance Biometrics"
https://amazon.in/Ozone-Smart-Biometric-Furniture-Ozfl-88-P/dp/B084N4YWQT/ref=sr_1_153?crid=3MNJ4J5A0A3FY&dib=eyJ2IjoiMSJ9.RyodSdKikAn7_-41kike1keVNLMDfZH3thFPmK8FqPOE5BXDZJTc4eUhKu-6IOhTVe9h1g86p-g9SDuNX4jD_PF1Vn6b679y33ILJaBcmGXoT0Sf8weOo0nGUFHF8AhtebZ7vDwzQz7-jOoq7Rk6nUHbFGG7XVICymRkHNQoGfA7SNhrqYF7TIW_bxbgdQz3j7xKmd_akjGmLkrqN_BiBNXVIYj8EYN5-aItpvTBOJrpQ2xTiP0NJ6wFbEZz9slI0h7FjHoE0BYII8nV2u1ZPEy_1dvanpglIQyfGgj9yxw.KXF2HN57wMdMHOfDal7cpDkFVPJM7QKKigI5-rNp77I&dib_tag=se&keywords=smart+lock&qid=1730094008&sprefix=smart+lock%2Caps%2C209&sr=8-153,"Ozone Round, Handy, and Compact Master PIN Code Access Automatic Smart Furniture Locking Black (Pack of 1)",Ozone,"₹1,768",,102 ratings,"#29,363 in Home Improvement (See Top 100 in Home Improvement)  #235 in Latches & Bolts  #342 in Tools & Home Improvement"
https://amazon.in/LAVNA-Digital-Manual-support-LH300/dp/B0CSFPRCNZ/ref=sr_1_154?crid=3MNJ4J5A0A3FY&dib=eyJ2IjoiMSJ9.RyodSdKikAn7_-41kike1keVNLMDfZH3thFPmK8FqPOE5BXDZJTc4eUhKu-6IOhTVe9h1g86p-g9SDuNX4jD_PF1Vn6b679y33ILJaBcmGXoT0Sf8weOo0nGUFHF8AhtebZ7vDwzQz7-jOoq7Rk6nUHbFGG7XVICymRkHNQoGfA7SNhrqYF7TIW_bxbgdQz3j7xKmd_akjGmLkrqN_BiBNXVIYj8EYN5-aItpvTBOJrpQ2xTiP0NJ6wFbEZz9slI0h7FjHoE0BYII8nV2u1ZPEy_1dvanpglIQyfGgj9yxw.KXF2HN57wMdMHOfDal7cpDkFVPJM7QKKigI5-rNp77I&dib_tag=se&keywords=smart+lock&qid=1730094008&sprefix=smart+lock%2Caps%2C209&sr=8-154,LAVNA Zinc Alloy And Stainless Steel Hotel Digital Door Lock With Rfid Card And Manual Key Access For Hotel|Resort|Pg Room Doors Support Mobile App(Lh300)(Black),LAVNA,"₹3,899",,2 ratings,"#26,429 in Home Improvement (See Top 100 in Home Improvement)  #74 in Dead Bolts"
